Timestamp,EventType,Department,Rating,Comments
2025-07-31 13:21:00,Tech Fest,Commerce,3,"Good effort, needs polishing."
2025-07-29 08:42:00,Hackathon,Arts,4,Great learning and networking opportunity.
2025-07-09 19:21:00,Robotics Seminar,Civil,5,Great organization and very informative.
2025-07-29 14:13:00,Hackathon,Commerce,3,Fair experience overall.
2025-07-05 08:51:00,Robotics Seminar,Civil,4,"Amazing event, learned a lot!"
2025-07-11 12:01:00,Cultural Fest,Mechanical,2,Lack of seating arrangements.
2025-07-24 17:09:00,Cultural Fest,Arts,4,Excellent arrangements and hospitality.
2025-07-14 10:27:00,Hackathon,ECE,4,Excellent arrangements and hospitality.
2025-07-08 19:38:00,Photography Contest,Commerce,3,It was fine but not very engaging.
2025-07-17 19:23:00,Cultural Fest,Civil,1,"Poorly managed, unclear schedule."
2025-07-18 11:27:00,Hackathon,Arts,1,"Poorly managed, unclear schedule."
2025-07-27 15:35:00,Cultural Fest,Civil,1,Food quality could be better.
2025-07-27 09:46:00,Workshop AI,Mechanical,1,Technical issues disrupted sessions.
2025-07-14 14:04:00,Photography Contest,Mechanical,5,"Amazing event, learned a lot!"
2025-07-08 16:20:00,Photography Contest,ECE,1,Sound quality was poor.
2025-07-21 09:52:00,Tech Fest,Civil,1,Event started late and wasted time.
2025-07-27 15:42:00,Robotics Seminar,Mechanical,4,Great learning and networking opportunity.
2025-07-16 11:25:00,Hackathon,CSE,2,Lack of seating arrangements.
2025-07-19 15:15:00,Cultural Fest,Commerce,3,"Event was okay, nothing special."
2025-07-18 12:26:00,Tech Fest,Mechanical,1,"Poorly managed, unclear schedule."
2025-07-29 18:49:00,Robotics Seminar,Mechanical,5,"Amazing event, learned a lot!"
2025-07-06 14:49:00,Hackathon,Mechanical,3,"Good effort, needs polishing."
2025-07-17 19:00:00,Tech Fest,Mechanical,4,Loved the speakers and the atmosphere.
2025-07-28 11:56:00,Robotics Seminar,ECE,1,Sound quality was poor.
2025-07-12 20:21:00,Tech Fest,Arts,3,"Average experience, could improve."
2025-07-29 09:05:00,Tech Fest,Mechanical,4,Really enjoyed the sessions and activities.
2025-07-29 10:07:00,Cultural Fest,ECE,2,Food quality could be better.
2025-07-29 08:36:00,Robotics Seminar,Commerce,4,"Fantastic experience, looking forward to the next one."
2025-07-30 10:51:00,Cultural Fest,ECE,3,"Good effort, needs polishing."
2025-07-29 20:03:00,Workshop AI,Commerce,5,Great organization and very informative.
2025-07-08 15:23:00,Hackathon,Civil,1,Food quality could be better.
2025-07-25 08:59:00,Workshop AI,Civil,3,Decent arrangements but room for improvement.
2025-07-06 19:30:00,Photography Contest,CSE,4,"Amazing event, learned a lot!"
2025-07-24 10:01:00,Photography Contest,Commerce,5,Really enjoyed the sessions and activities.
2025-07-26 15:59:00,Robotics Seminar,Arts,4,Excellent arrangements and hospitality.
