Timestamp,EventType,Department,Rating,Comments,textblob_polarity,vader_compound,sentiment_tb,sentiment_vd
2025-07-27 09:46:00,Workshop AI,Mechanical,1,Technical issues disrupted sessions.,0.0,0.0,neutral,neutral
2025-07-14 14:04:00,Photography Contest,Mechanical,5,"Amazing event, learned a lot!",0.7500000000000001,0.6239,positive,positive
2025-07-08 16:20:00,Photography Contest,ECE,1,Sound quality was poor.,0.0,-0.4767,neutral,negative
2025-07-21 09:52:00,Tech Fest,Civil,1,Event started late and wasted time.,-0.25,-0.4939,negative,negative
2025-07-27 15:42:00,Robotics Seminar,Mechanical,4,Great learning and networking opportunity.,0.8,0.7845,positive,positive
2025-07-16 11:25:00,Hackathon,CSE,2,Lack of seating arrangements.,0.0,-0.3182,neutral,negative
2025-07-19 15:15:00,Cultural Fest,Commerce,3,"Event was okay, nothing special.",0.4285714285714286,-0.092,positive,negative
2025-07-18 12:26:00,Tech Fest,Mechanical,1,"Poorly managed, unclear schedule.",-0.4,-0.25,negative,negative
2025-07-29 18:49:00,Robotics Seminar,Mechanical,5,"Amazing event, learned a lot!",0.7500000000000001,0.6239,positive,positive
2025-07-06 14:49:00,Hackathon,Mechanical,3,"Good effort, needs polishing.",0.7,0.4404,positive,positive
2025-07-17 19:00:00,Tech Fest,Mechanical,4,Loved the speakers and the atmosphere.,0.7,0.5994,positive,positive
2025-07-28 11:56:00,Robotics Seminar,ECE,1,Sound quality was poor.,0.0,-0.4767,neutral,negative
2025-07-12 20:21:00,Tech Fest,Arts,3,"Average experience, could improve.",-0.15,0.4404,negative,positive
2025-07-29 09:05:00,Tech Fest,Mechanical,4,Really enjoyed the sessions and activities.,0.5,0.5563,positive,positive
2025-07-29 10:07:00,Cultural Fest,ECE,2,Food quality could be better.,0.5,0.4404,positive,positive
2025-07-29 08:36:00,Robotics Seminar,Commerce,4,"Fantastic experience, looking forward to the next one.",0.2,0.5574,positive,positive
2025-07-30 10:51:00,Cultural Fest,ECE,3,"Good effort, needs polishing.",0.7,0.4404,positive,positive
2025-07-29 20:03:00,Workshop AI,Commerce,5,Great organization and very informative.,0.5,0.6249,positive,positive
2025-07-08 15:23:00,Hackathon,Civil,1,Food quality could be better.,0.5,0.4404,positive,positive
2025-07-25 08:59:00,Workshop AI,Civil,3,Decent arrangements but room for improvement.,0.16666666666666666,0.6124,positive,positive
2025-07-06 19:30:00,Photography Contest,CSE,4,"Amazing event, learned a lot!",0.7500000000000001,0.6239,positive,positive
2025-07-24 10:01:00,Photography Contest,Commerce,5,Really enjoyed the sessions and activities.,0.5,0.5563,positive,positive
2025-07-26 15:59:00,Robotics Seminar,Arts,4,Excellent arrangements and hospitality.,1.0,0.5719,positive,positive
